platforms,unlimited_users,unlimited_hosting,e_commerce,own_content,lead_generation,custom_domain,webconference,gamification,guided_onboarding,app,scorm,advanced_reports,inside_e_commerce,cloud,user_profile,access_control,scheduling,integration,security_tools,assets,certificate,blended_learning,api,multi_language,free_trial,customisation,multiplatform,user_experience,own_player,customer_success,sso,microlearning,custom_branding,white_labeling,learning_paths,authoring,webhooks,grade,percent_grade,country,price,users,price/user
Konviva,0,0,4.06,3.89,0,4.67,0,4.78,0,4.44,3.33,5,0,4.33,4.56,4.89,0,3.44,4.67,4.56,4.78,4,4.22,0,0,4.78,5,0,0,0,0,4,0,0,0,0,0,83.4,45.08,BRA,364,300,1.21
Maestrus,0,0,4.06,0,3.94,4.67,0,0,4.17,0,0,5,4.56,4.33,4.56,4.89,3.78,3.44,4.67,4.56,4.78,4,0,0,3.94,4.78,5,0,3.67,0,0,0,5,2,0,0,0,89.8,48.54,BRA,139.6,40,3.49
 Herospark,0,4.78,4.06,3.89,0,4.67,4.44,4.78,4.17,4.44,3.33,5,0,4.33,4.56,4.89,3.78,3.44,4.67,4.56,4.78,4,4.22,4.44,3.94,4.78,5,5,0,5,2.5,0,0,0,4.5,2.5,4,128.45,69.43,BRA,364,300,1.21
Twygo,0,0,4.06,3.89,0,4.67,0,4.78,4.17,0,0,5,0,4.33,4.56,4.89,0,3.44,0,4.56,4.78,0,0,0,3.94,4.78,5,0,0,5,0,0,5,0,4.5,0,0,81.35,43.97,BRA,699,300,2.33
Micropower,0,0,0,0,0,0,4.44,4.78,0,4.44,3.33,5,0,0,4.56,4.89,3.78,3.44,0,4.56,4.78,4,0,0,0,4.78,5,0,0,5,0,0,5,0,4.5,0,0,76.28,41.23,BRA,364,300,1.21
Matrix LMS,0,4.78,4.06,3.89,0,4.67,4.44,4.78,4.17,4.44,3.33,5,0,4.33,4.56,4.89,3.78,3.44,4.67,4.56,4.78,4,4.22,4.44,3.94,4.78,5,5,0,5,2.5,4,5,2,4.5,0,4,136.95,74.03,USA,1000,500,2.00
Talent LMS,0,4.78,4.06,0,0,4.67,4.44,4.78,4.17,4.44,3.33,5,0,4.33,4.56,4.89,3.78,3.44,4.67,4.56,4.78,4,4.22,4.44,3.94,4.78,5,5,0,5,2.5,0,5,2,4.5,0,4,129.06,69.76,USA,653.1084,100,6.53
Blackboard,0,0,4.06,3.89,0,4.67,4.44,0,4.17,4.44,3.33,5,0,4.33,4.56,4.89,3.78,3.44,4.67,4.56,4.78,4,0,4.44,0,4.78,5,0,0,0,0,0,0,0,0,0,0,87.23,47.15,USA,"123,228.00",300,410.76
Canvas LMS,0,0,0,3.89,0,4.67,4.44,4.78,0,4.44,0,5,0,4.33,4.56,4.89,3.78,3.44,4.67,4.56,0,4,4.22,0,3.94,4.78,5,5,3.67,0,2.5,0,5,0,4.5,0,4,104.06,56.25,USA,2310.525,300,7.70
Cornerstone,0,0,4.06,0,0,4.67,4.44,4.78,0,4.44,3.33,5,0,4.33,4.56,0,0,0,0,4.56,4.78,4,0,4.44,0,0,5,0,0,0,0,0,0,0,0,2.5,0,64.89,35.08,USA,7393.68,300,24.65
Crossknowledge,0,0,0,0,0,0,4.44,4.78,0,4.44,3.33,5,0,0,4.56,4.89,3.78,3.44,0,4.56,4.78,4,4.22,4.44,0,4.78,5,0,0,0,0,0,5,0,0,0,0,75.44,40.78,GLOBAL,364,300,1.21
SAP Sucessfactors,0,0,0,0,0,0,0,0,4.17,4.44,3.33,5,0,4.33,4.56,4.89,0,3.44,4.67,0,0,4,4.22,0,0,4.78,5,0,0,0,0,0,5,0,0,0,0,61.83,33.42,USA,3696.84,300,12.32
